OrderID,Date,Product,Category,Quantity,Price,City
10000,4/13/2023,Bag,Electronics,4,24526,Karachi
10001,12/15/2023,Phone,Electronics,2,35527,Peshawar
10002,9/28/2023,Bag,Fashion,4,40377,Peshawar
10003,4/17/2023,Watch,Fashion,3,31651,Karachi
10004,3/13/2023,Laptop,Fashion,0,24377,Peshawar
10005,7/8/2023,Bag,Fashion,3,35589,Peshawar
10006,1/21/2023,Shoes,Electronics,4,45312,Quetta
10007,4/13/2023,Phone,Electronics,4,9737,Quetta
10008,5/2/2023,Shoes,Electronics,4,43358,Karachi
10009,8/3/2023,Shirt,Fashion,3,35793,Lahore
10010,11/27/2023,Laptop,Fashion,4,9924,Peshawar
10011,3/29/2023,Bag,Electronics,3,27050,Lahore
10012,4/10/2023,Shoes,Fashion,2,23588,Karachi
10013,12/26/2023,Laptop,Electronics,1,39108,Karachi
10014,6/1/2023,Shirt,Electronics,1,49764,Quetta
10015,5/11/2023,Watch,Electronics,3,315,Peshawar
10016,5/30/2023,Phone,Electronics,2,40167,Islamabad
10017,11/5/2023,Laptop,Electronics,3,11623,Karachi
10018,9/15/2023,Laptop,Fashion,2,10464,Peshawar
10019,12/10/2023,Watch,Fashion,4,3253,Lahore
10020,10/21/2023,Laptop,Fashion,2,23934,Quetta
10021,7/11/2023,Shirt,Electronics,2,34574,Lahore
10022,10/4/2023,Shirt,Electronics,2,43166,Karachi
10023,6/10/2023,Watch,Electronics,1,34435,Karachi
10024,11/10/2023,Phone,Electronics,2,10500,Lahore
10025,1/22/2023,Bag,Fashion,4,10445,Karachi
10026,9/10/2023,Shoes,Fashion,4,33996,Peshawar
10027,8/24/2023,Bag,Electronics,4,19994,Karachi
10028,12/11/2023,Laptop,Electronics,2,28999,Quetta
10029,2/18/2023,Shoes,Electronics,3,40735,Peshawar
10030,2/28/2023,Watch,Fashion,3,28329,Islamabad
10031,6/19/2023,Watch,Fashion,4,5683,Karachi
10032,7/7/2023,Phone,Fashion,1,4997,Karachi
10033,9/28/2023,Shoes,Electronics,3,6101,Quetta
10034,7/9/2023,Shirt,Electronics,2,43981,Quetta
10035,6/24/2023,Shoes,Fashion,3,4667,Lahore
10036,2/20/2023,Laptop,Electronics,4,9371,Lahore
10037,12/30/2023,Shirt,Fashion,1,47216,Lahore
